Home,Score_x,Touches_x
Werder Bremen,0,383
Leverkusen,3,574
Wolfsburg,2,649
Stuttgart,5,702
Augsburg,4,620
Hoffenheim,1,623
Dortmund,1,862
Union Berlin,4,511
Eint Frankfurt,1,715
RB Leipzig,5,658
Bochum,1,453
Darmstadt 98,1,785
Freiburg,1,614
Köln,1,619
Heidenheim,2,459
M'Gladbach,0,624
Mainz 05,1,482
Bayern Munich,3,745
Dortmund,2,686
Werder Bremen,4,562
Hoffenheim,3,468
Leverkusen,5,913
Augsburg,2,441
Stuttgart,5,635
M'Gladbach,1,505
Eint Frankfurt,1,883
Bayern Munich,2,766
Wolfsburg,2,580
Mainz 05,1,527
Freiburg,2,542
Köln,1,623
RB Leipzig,3,643
Heidenheim,4,487
Darmstadt 98,3,456
Stuttgart,3,791
Bayern Munich,7,732
Union Berlin,0,685
Augsburg,2,536
Dortmund,1,769
M'Gladbach,0,597
Leverkusen,4,964
Eint Frankfurt,0,733
Hoffenheim,1,590
Köln,0,528
Heidenheim,1,571
Wolfsburg,2,646
Bochum,1,609
Mainz 05,0,612
RB Leipzig,2,521
Darmstadt 98,4,528
Freiburg,2,623
M'Gladbach,2,762
RB Leipzig,0,837
Dortmund,4,773
Augsburg,1,518
Stuttgart,3,742
Werder Bremen,2,644
Leverkusen,3,886
Eint Frankfurt,2,677
